,genre
tt0027977,"['comedy', 'drama', 'romance']"
tt0419946,['action']
tt0391304,"['comedy', 'drama', 'romance']"
tt1142988,"['comedy', 'romance']"
tt0468569,"['action', 'crime', 'drama', 'thriller', 'superhero']"
tt0822847,"['horror', 'action', 'thriller', 'fantasy']"
tt1055292,"['comedy', 'drama', 'romance']"
tt1411238,"['comedy', 'romance']"
tt1440129,"['action', 'adventure', 'science-fiction', 'thriller']"
tt1345836,"['action', 'crime', 'drama', 'thriller', 'superhero']"
tt0770703,"['comedy', 'romance']"
tt1327194,"['drama', 'romance']"
tt0211915,"['comedy', 'romance']"
tt0321249,"['comedy', 'horror', 'science-fiction']"
tt2148544,['comedy']
tt3118452,"['science-fiction', 'mystery', 'drama', 'thriller', 'horror']"
tt5013056,"['war', 'action', 'drama']"
tt6712014,"['comedy', 'drama']"
tt26445483,"['comedy', 'drama']"
tt12964320,"['romance', 'action', 'comedy']"
tt0169547,['drama']
tt0119116,"['action', 'adventure', 'fantasy', 'science-fiction', 'thriller']"
tt0266697,"['action', 'crime']"
tt0078788,"['war', 'drama']"
tt0338013,"['drama', 'science-fiction', 'romance']"
tt0062622,"['adventure', 'mystery', 'science-fiction']"
tt0114746,"['mystery', 'science-fiction', 'thriller']"
tt0405159,['drama']
tt0209144,"['mystery', 'thriller']"
tt0083658,"['drama', 'science-fiction', 'thriller']"
tt0110413,"['crime', 'drama', 'action']"
tt0075314,"['crime', 'drama']"
tt0088763,"['adventure', 'comedy', 'science-fiction']"
tt0093773,"['action', 'adventure', 'science-fiction', 'thriller']"
